# NumberResearch.org area code dataset. License CC BY 4.0. Underlying data: NANPA (nanpa.com), file date 09/17/2026. Retrieved via numberresearch.org/datasets
npa,kind,status,country,region,in_service_date,parent_npa,dialing_pattern
382,geographic,in_service,CANADA,ONTARIO,2023-06-17,519,10D
383,geographic,unassigned,,,,,
384,geographic,reserved,,,,,
385,geographic,in_service,US,UT,2009-03-29,801,10D
386,geographic,in_service,US,FL,2001-02-15,904,7D
387,geographic,reserved,CANADA,,,,
388,non_geographic,unassigned,,,,,
389,geographic,reserved,,,,,
390,non_geographic,reserved,,,,,
391,non_geographic,reserved,,,,,
392,non_geographic,reserved,,,,,
393,non_geographic,reserved,,,,,
394,non_geographic,reserved,,,,,
395,non_geographic,reserved,,,,,
396,non_geographic,reserved,,,,,
397,non_geographic,reserved,,,,,
398,non_geographic,reserved,,,,,
399,non_geographic,reserved,,,,,
400,non_geographic,unassigned,,,,,
401,geographic,in_service,US,RI,1947-01-01,,7D
402,geographic,in_service,US,NE,1947-01-01,,10D
403,geographic,in_service,CANADA,ALBERTA,1947-01-01,,10D
404,geographic,in_service,US,GA,1947-01-01,,10D
405,geographic,in_service,US,OK,1947-01-01,,10D
406,geographic,in_service,US,MT,1947-01-01,,10D
407,geographic,in_service,US,FL,1988-04-16,305,10D
408,geographic,in_service,US,CA,1959-01-01,415,1+10D
409,geographic,in_service,US,TX,1982-11-01,713,10D
410,geographic,in_service,US,MD,1991-10-06,301,10D
411,non_geographic,not_assignable,,,,,
412,geographic,in_service,US,PA,1947-01-01,,10D
413,geographic,in_service,US,MA,1947-01-01,,7D
414,geographic,in_service,US,WI,1947-01-01,,10D
415,geographic,in_service,US,CA,1947-01-01,,1+10D
416,geographic,in_service,CANADA,ONTARIO,1947-01-01,,10D
417,geographic,in_service,US,MO,1950-01-01,,10D
418,geographic,in_service,CANADA,QUEBEC,1947-01-01,,10D
419,geographic,in_service,US,OH,1947-01-01,,10D
420,geographic,reserved,,,,,
421,geographic,reserved,,,,,
422,non_geographic,unassigned,,,,,
423,geographic,in_service,US,TN,1995-09-11,615,10D
424,geographic,in_service,US,CA,2006-08-26,310,1+10D
425,geographic,in_service,US,WA,1997-04-27,206,10D
426,geographic,reserved,,,,,
427,geographic,unassigned,,,,,
428,geographic,in_service,CANADA,NEW BRUNSWICK,2023-04-29,506,10D
429,geographic,reserved,,,,,
430,geographic,in_service,US,TX,2003-02-15,903,10D
431,geographic,in_service,CANADA,MANITOBA,2012-11-03,204,10D
432,geographic,in_service,US,TX,2003-04-05,915,7D
433,non_geographic,unassigned,,,,,
434,geographic,in_service,US,VA,2001-06-01,804,7D
435,geographic,in_service,US,UT,1997-09-21,801,7D
436,geographic,in_service,US,OH,2024-03-01,440,10D
437,geographic,in_service,CANADA,ONTARIO,2013-03-25,416,10D
438,geographic,in_service,CANADA,QUEBEC,2006-11-04,514,10D
439,geographic,unassigned,,,,,
440,geographic,in_service,US,OH,1997-08-16,216,10D
441,geographic,in_service,BERMUDA,BERMUDA,1995-10-01,809,7D
442,geographic,in_service,US,CA,2009-11-21,760,1+10D
443,geographic,in_service,US,MD,1997-06-01,410,10D
444,non_geographic,unassigned,,,,,
445,geographic,in_service,US,PA,2018-03-03,267,10D
446,geographic,unassigned,,,,,
447,geographic,in_service,US,IL,2021-03-27,217,10D
448,geographic,in_service,US,FL,2021-06-22,850,10D
449,geographic,reserved,,,,,
450,geographic,in_service,CANADA,QUEBEC,1998-06-13,514,10D
451,geographic,reserved,,,,,
452,geographic,unassigned,,,,,
453,geographic,reserved,,,,,
454,geographic,unassigned,,,,,
455,non_geographic,unassigned,,,,,
456,geographic,unassigned,,,,,
